enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
0,2,0,1.14.14.154,1,1.-.-.-,-1
110,2,0,1.14.14.154,-1,,-1
381,2,0,1.14.14.154,-1,/,-1
552,2,0,1.14.14.154,-1,,-1
633,2,0,1.14.14.154,3,1.14.14.1; 1.6.2.4,-1
639,2,0,,-1,,-1
673,2,1,1.14.14.154,0,,-1
675,2,1,1.14.14.154,0,,-1
692,2,0,1.14.14.154,-1,,-1
703,2,0,1.14.14.71,-1,,-1
734,2,0,1.14.14.154,3,1.14.14.80,-1
811,2,0,1.14.14.154,3,1.14.14.190,-1
838,2,0,1.14.14.1; 1.6.2.4,-1,,-1
899,2,0,1.14.14.154,3,1.14.14.1,-1
1025,2,0,1.14.19.74,-1,,-1
1065,2,0,1.14.14.154,-1,/,-1
114,3,0,1.14.14.1/1.6.2.4,-1,,-1
238,3,0,1.-.-.-,-1,,-1
279,3,0,1.14.14.154,-1,,-1
529,3,0,1.14.14.154,-1,,-1
530,3,0,1.14.14.82,-1,,-1
673,3,1,1.14.14.154,0,,-1
675,3,1,1.14.14.154,0,,-1
708,3,0,1.14.19.72,-1,,-1
769,3,0,1.14.14.154,3,1.14.14.156,-1
785,3,0,1.14.14.154,3,1.14.14.1,-1
793,3,0,1.14.14.154,3,1.14.14.24,-1
811,3,0,1.14.14.190,-1,,-1
838,3,0,1.14.14.154,3,1.14.14.1; 1.6.2.4,-1
927,3,0,1.14.15.29,-1,,-1
937,3,0,1.14.14.154,3,1.14.14.91,-1
1025,3,0,1.14.19.74,-1,,-1
1040,3,0,1.14.14.-,-1,,-1
1124,3,0,1.14.14.38; 1.14.14.39,-1,,-1
1169,3,0,1.14.14.87,-1,,-1
1314,3,0,1.14.19.52,-1,,-1
1476,3,0,1.14.14.154,-1,,-1
1590,3,0,1.14.14.154,-1,,-1
1608,3,0,1.14.14.154,-1,,-1
6,8,0,1.14.14.1; 1.6.2.4,3,1.14.14.-,-1
48,8,0,1.14.14.1,-1,/,-1
74,8,0,1.14.14.1,-1,,-1
102,8,0,1.14.14.1,3,1.14.14.-,-1
113,8,1,1.14.14.1/1.6.2.4,0,,-1
114,8,1,1.14.14.1/1.6.2.4,0,,-1
120,8,0,1.14.14.1,-1,,-1
143,8,0,1.14.14.1,-1,,-1
151,8,0,1.14.14.1; 1.6.2.4,-1,,-1
199,8,0,1.14.14.1/1.6.2.4,-1,,-1
202,8,0,1.14.14.1; 1.6.2.4,1,1.-.-.-,-1
210,8,0,1.14.14.1,-1,,-1
238,8,0,1.14.14.1,1,1.-.-.-,-1
239,8,0,1.14.14.1,1,1.-.-.-,-1
275,8,0,1.14.14.1,-1,,-1
303,8,0,1.14.14.1,1,1.-.-.-,-1
342,8,0,1.14.14.1,3,1.14.14.-,-1
344,8,0,1.14.14.1,-1,,-1
367,8,0,1.14.14.1; 1.6.2.4,-1,,-1
374,8,0,1.14.14.1/1.6.2.4,-1,/,-1
394,8,0,1.14.14.1,4,1.14.14.1,-1
401,8,0,1.14.14.1,-1,,-1
412,8,0,1.14.14.1/1.6.2.4,-1,,-1
429,8,0,1.14.14.1,1,1.-.-.-,-1
434,8,0,1.14.14.1,3,1.14.14.-,-1
436,8,1,1.14.14.1,0,,-1
444,8,0,1.14.14.1,-1,,-1
447,8,0,1.14.14.1,3,1.14.14.81,-1
462,8,0,1.14.14.1; 1.6.2.4,-1,,-1
465,8,0,1.14.14.1,2,1.14.-.-,-1
468,8,0,1.14.14.1,3,1.14.14.B11,-1
483,8,0,1.14.14.1,-1,,-1
530,8,0,1.14.14.1,3,1.14.14.82,-1
532,8,0,1.14.14.1; 1.6.2.4,-1,,-1
571,8,1,1.14.14.1,0,,-1
618,8,0,1.14.14.1,-1,,-1
620,8,0,1.14.14.1; 1.6.2.4,-1,,-1
631,8,0,1.14.14.1,3,1.14.14.82,-1
637,8,0,1.-.-.-; 1.13.11.-; 1.13.11.62,-1,,-1
669,8,0,1.14.14.1; 1.6.2.4,3,1.14.14.178,-1
673,8,0,1.14.14.1; 1.6.2.4,3,1.14.14.154,-1
685,8,0,1.14.14.1; 1.6.2.4,3,1.14.14.167,-1
692,8,0,1.14.14.1,-1,,-1
708,8,0,1.14.14.1,2,1.14.19.72,-1
710,8,0,1.14.14.1/1.6.2.4,-1,,-1
726,8,1,1.14.14.1; 1.6.2.4,0,,-1
734,8,0,1.14.14.1,3,1.14.14.80,-1
741,8,0,1.14.14.1,2,1.14.15.18,-1
756,8,0,1.14.14.1,-1,,-1
765,8,0,,-1,,-1
769,8,0,1.14.14.24,3,1.14.14.156,-1
771,8,0,1.14.14.1,2,1.14.-.-,-1
783,8,0,1.14.14.1,1,1.6.2.4,-1
785,8,0,1.14.14.24,3,1.14.14.1,-1
793,8,1,1.14.14.24,0,,-1
815,8,0,1.14.14.1,-1,,-1
835,8,1,1.14.14.1,0,,-1
836,8,0,1.14.14.1/1.6.2.4,3,1.14.14.154,-1
838,8,1,1.14.14.1; 1.6.2.4,0,,-1
839,8,1,1.14.14.1,0,,-1
862,8,1,1.14.14.1,0,,-1
867,8,1,1.14.14.1,0,,-1
869,8,0,1.14.14.1/1.6.2.4,3,1.14.14.32,-1
895,8,0,1.14.14.1,3,1.14.14.94,-1
899,8,1,1.14.14.1,0,,-1
909,8,0,1.14.14.1,-1,,-1
931,8,0,1.14.14.1; 1.6.2.4,1,1.6.2.4,-1
945,8,0,1.14.14.1,2,1.14.13.63,-1
960,8,0,1.14.14.1,2,1.14.19.76,-1
970,8,0,1.14.14.1,4,1.14.14.1,-1
995,8,0,1.14.14.1; 1.6.2.4,-1,/,-1
1011,8,0,1.14.14.24,-1,,-1
1025,8,0,1.14.14.1,2,1.14.19.74,-1
1052,8,0,1.14.14.1,1,1.6.2.4,-1
1065,8,0,1.14.14.1; 1.6.2.4,-1,/,-1
1087,8,0,1.14.14.1,-1,,-1
1109,8,1,1.14.14.1,0,,-1
1124,8,0,1.14.14.1,3,1.14.14.38; 1.14.14.39,-1
1136,8,0,1.14.14.1/1.6.2.4,3,1.14.14.158,-1
1169,8,0,1.14.14.1,3,1.14.14.87,-1
1177,8,1,1.14.14.1; 1.6.2.4,0,,-1
1180,8,0,1.14.14.1,-1,,-1
1200,8,0,1.14.14.1/1.6.2.4,-1,,-1
