Dock Index,Enzyme Index,Substrate Index,Label
48,52,1,0
58,282,1,0
60,347,1,0
61,351,1,0
62,380,1,0
63,450,1,0
73,597,1,0
99,930,1,1
101,949,1,1
103,986,1,1
104,1006,1,0
105,1021,1,0
106,1032,1,0
107,1035,1,0
108,1053,1,1
111,1081,1,0
112,1097,1,0
114,1110,1,0
117,1174,1,1
118,1175,1,0
132,1431,1,0
135,1489,1,0
137,1505,1,0
138,1509,1,0
139,1510,1,0
141,1543,1,0
142,1557,1,0
143,1578,1,0
147,1595,1,0
297,73,7,0
299,255,7,0
300,282,7,0
306,660,7,0
310,930,7,0
311,1065,7,0
318,12,8,0
324,36,8,0
327,50,8,0
328,53,8,1
333,73,8,0
339,84,8,0
344,109,8,0
348,123,8,0
350,129,8,0
354,144,8,0
362,179,8,0
364,192,8,0
375,258,8,0
384,295,8,0
385,306,8,0
386,317,8,0
392,371,8,0
403,447,8,0
407,472,8,0
408,475,8,0
410,490,8,0
416,520,8,0
425,562,8,0
433,608,8,0
436,624,8,0
439,637,8,0
443,653,8,1
444,656,8,1
450,677,8,0
454,690,8,1
456,700,8,0
457,702,8,0
473,760,8,0
475,767,8,0
483,788,8,1
485,793,8,1
488,805,8,0
489,809,8,0
490,815,8,0
491,819,8,0
493,827,8,1
495,835,8,1
502,857,8,1
506,863,8,1
509,867,8,1
510,874,8,1
513,882,8,0
514,889,8,0
519,899,8,1
520,900,8,1
525,912,8,1
530,936,8,1
533,946,8,0
536,949,8,0
539,972,8,0
549,1011,8,0
550,1020,8,0
558,1065,8,0
559,1087,8,0
564,1110,8,1
567,1132,8,0
570,1142,8,0
574,1158,8,0
575,1165,8,0
576,1174,8,0
581,1195,8,0
584,1207,8,0
585,1212,8,0
588,1219,8,0
593,1236,8,0
595,1255,8,0
597,1264,8,0
602,1282,8,0
603,1283,8,0
607,1297,8,1
608,1302,8,0
618,1362,8,0
619,1371,8,1
622,1382,8,0
628,1420,8,0
630,1443,8,0
638,1474,8,0
641,1481,8,0
642,1485,8,0
644,1491,8,0
645,1492,8,0
648,1509,8,0
650,1513,8,0
651,1522,8,0
657,1552,8,0
658,1561,8,0
662,1585,8,0
665,1597,8,0
666,1605,8,0
723,258,10,0
732,642,10,0
733,705,10,0
734,765,10,0
736,793,10,0
739,1030,10,0
741,1165,10,1
742,1207,10,1
748,144,11,0
749,259,11,0
750,320,11,1
753,532,11,0
754,645,11,0
758,788,11,0
760,834,11,0
763,857,11,0
765,882,11,0
770,1222,11,0
772,1255,11,0
773,1344,11,0
785,1219,12,0
786,1240,12,0
787,1283,12,0
788,1431,12,0
789,1508,12,0
792,52,13,0
793,123,13,0
797,237,13,0
804,317,13,0
806,351,13,0
809,435,13,0
812,490,13,0
814,508,13,1
815,509,13,1
821,556,13,0
826,677,13,0
830,788,13,0
831,792,13,1
833,835,13,0
841,890,13,0
844,929,13,0
845,936,13,1
847,1024,13,0
850,1093,13,1
852,1123,13,0
853,1130,13,1
854,1134,13,0
856,1175,13,1
861,1264,13,0
868,1408,13,0
875,1603,13,0
878,258,14,0
879,450,14,0
881,508,14,1
883,603,14,0
885,831,14,0
889,1297,14,0
890,1302,14,0
894,1584,14,0
968,413,18,0
971,634,18,0
972,645,18,0
974,767,18,0
978,1115,18,0
980,1308,18,0
1047,179,22,0
1048,258,22,0
1050,788,22,0
1055,936,22,0
1059,1556,22,0
1115,26,25,0
1116,50,25,0
1123,801,25,0
1125,856,25,0
1126,930,25,0
1172,414,28,0
1173,457,28,0
1174,483,28,0
1175,540,28,1
1176,721,28,0
