enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
29,0,0,1.14.15.4,-1,/,-1
31,0,0,1.14.15.4,-1,/,-1
36,0,0,1.14.15.4,-1,/,-1
46,0,0,1.14.15.4,-1,,-1
130,0,0,1.14.15.4,-1,,-1
251,0,0,1.14.15.4,-1,,-1
305,0,0,1.14.15.4,2,1.14.14.174,-1
407,0,0,1.14.15.4; 1.14.15.5,-1,,-1
437,0,0,1.14.15.4,1,1.-.-.-,-1
477,0,0,1.14.15.4,-1,/,-1
547,0,0,1.14.15.4,-1,,-1
601,0,0,1.14.15.4,-1,,-1
721,0,0,1.14.15.4; 1.14.15.5,0,4.2.1.92,-1
745,0,0,1.14.15.4,2,1.14.14.24,-1
762,0,0,1.14.15.4,2,1.14.14.45,-1
776,0,0,1.14.15.4,2,1.14.14.1,-1
841,0,1,1.14.15.4,0,,-1
870,0,1,1.14.15.4; 1.14.15.5,0,,-1
871,0,1,1.14.15.4,0,,-1
903,0,0,1.14.15.4,2,1.14.14.32,-1
909,0,0,1.14.15.4,-1,,-1
937,0,0,1.14.15.4,2,1.14.14.91,-1
941,0,0,1.14.15.4,-1,,-1
965,0,0,1.14.15.4,2,1.14.14.82,-1
977,0,0,1.14.15.4,2,1.14.14.-,-1
1039,0,0,1.14.15.4,2,1.14.14.36,-1
1052,0,0,1.14.15.4,1,1.6.2.4,-1
1099,0,0,1.14.15.4,2,1.14.14.86,-1
1197,0,0,1.14.15.4,-1,,-1
1403,0,0,1.14.15.4,-1,,-1
1433,0,0,1.14.15.4; 1.14.15.5,-1,,-1
1503,0,0,1.14.15.4,-1,,-1
1535,0,0,1.14.15.4,-1,,-1
3,1,0,1.14.15.36,2,1.14.14.150,-1
12,1,0,1.14.15.36,-1,/,-1
47,1,0,1.14.14.154,3,1.14.14.171,-1
52,1,0,1.14.14.154,-1,,-1
73,1,0,1.14.14.154,-1,/,-1
76,1,0,1.14.14.154,3,1.14.14.1,-1
101,1,0,1.14.14.154,3,1.14.14.62,-1
106,1,0,1.14.14.154,-1,/,-1
164,1,0,1.14.15.36,-1,/,-1
178,1,0,1.14.14.154,-1,,-1
187,1,0,1.14.14.154,1,1.-.-.-,-1
221,1,0,1.14.14.154,-1,,-1
227,1,0,1.14.14.154,-1,,-1
240,1,0,1.14.14.154,3,1.14.14.127,-1
318,1,0,1.14.14.154,-1,/,-1
330,1,0,1.14.14.154,3,1.14.14.-,-1
337,1,0,1.14.14.154,-1,,-1
362,1,0,1.14.14.154,-1,,-1
